symbol,basic_statistics,stationarity_test,volatility_analysis,analysis_period
RCL,"{'mean': 116.71423980255453, 'std': 39.004494083832924, 'min': 48.709999084472656, 'max': 226.63999938964844, 'median': 114.9000015258789, 'skewness': 0.42074330884403716, 'kurtosis': -0.5195707221794197}","{'test_statistic': 1.1980338240521262, 'p_value': 0.9959722705578148, 'critical_values': {'1%': -3.4446148284445153, '5%': -2.8678299626609314, '10%': -2.5701203107928157}}","{'annual_volatility': 0.3571720166545285, 'max_volatility': 0.5880574394600171, 'min_volatility': 0.19725053810276547, 'avg_volatility': 0.3389206962581783}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
REG,"{'mean': 63.22569595108195, 'std': 4.4056239911511295, 'min': 55.15999984741211, 'max': 75.18000030517578, 'median': 61.959999084472656, 'skewness': 0.888344587667629, 'kurtosis': -0.03724813300754315}","{'test_statistic': -1.2103245189899312, 'p_value': 0.6691386699521469, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.20648729032859647, 'max_volatility': 0.32934863001382153, 'min_volatility': 0.08966242764937647, 'avg_volatility': 0.19968212689514936}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
REGN,"{'mean': 885.9713052426978, 'std': 128.89745811127077, 'min': 680.489990234375, 'max': 1201.760009765625, 'median': 838.2000122070312, 'skewness': 0.5929968964701848, 'kurtosis': -0.6062583548110694}","{'test_statistic': -1.422658078916678, 'p_value': 0.5713666472751763, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.2279895654070765, 'max_volatility': 0.36897697852519673, 'min_volatility': 0.09195245290298396, 'avg_volatility': 0.20534778608811297}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RF,"{'mean': 19.581199157927227, 'std': 2.398153875451324, 'min': 14.010000228881836, 'max': 26.309999465942383, 'median': 19.190000534057617, 'skewness': 0.2348895094530786, 'kurtosis': -0.5025923404896084}","{'test_statistic': -0.943906528175608, 'p_value': 0.7731698562047588, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3232801252512026, 'max_volatility': 0.5879485596159992, 'min_volatility': 0.14525724702594572, 'avg_volatility': 0.29697116136128393}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RJF,"{'mean': 111.03929321158367, 'std': 13.111874751696865, 'min': 83.45999908447266, 'max': 160.7899932861328, 'median': 110.94000244140625, 'skewness': 0.4242957248240702, 'kurtosis': 0.7484939851077916}","{'test_statistic': 0.3656233226538746, 'p_value': 0.9801628466596802, 'critical_values': {'1%': -3.444740396477859, '5%': -2.8678852001919073, '10%': -2.570149751878151}}","{'annual_volatility': 0.2664385858494427, 'max_volatility': 0.5283902694515339, 'min_volatility': 0.09320508651392356, 'avg_volatility': 0.24168732498772139}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RL,"{'mean': 145.12967882830276, 'std': 30.380219227773978, 'min': 106.08999633789062, 'max': 222.5800018310547, 'median': 131.8000030517578, 'skewness': 0.426696050460509, 'kurtosis': -1.2867765719154785}","{'test_statistic': 0.3373389505757896, 'p_value': 0.9789941956727118, 'critical_values': {'1%': -3.44455286264131, '5%': -2.8678027030003483, '10%': -2.5701057817594894}}","{'annual_volatility': 0.30247489825490487, 'max_volatility': 0.6255827093634533, 'min_volatility': 0.15485982276501742, 'avg_volatility': 0.28503310278967225}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RMD,"{'mean': 200.43385445637674, 'std': 30.441123086142863, 'min': 134.64999389648438, 'max': 256.07000732421875, 'median': 210.91000366210938, 'skewness': -0.4482866973137414, 'kurtosis': -0.8205268115719941}","{'test_statistic': -1.1270425552504355, 'p_value': 0.7041680670810015, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.35545078575144, 'max_volatility': 0.7526407721950279, 'min_volatility': 0.11162099221440552, 'avg_volatility': 0.3264736935292365}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ROK,"{'mean': 282.80089943209856, 'std': 19.360323657173712, 'min': 248.27000427246094, 'max': 346.8900146484375, 'median': 278.760009765625, 'skewness': 0.985912494579136, 'kurtosis': 0.8511732236128733}","{'test_statistic': -2.757485046395217, 'p_value': 0.06460802957627358, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.30578254917601955, 'max_volatility': 0.6908370778062839, 'min_volatility': 0.13171943353435306, 'avg_volatility': 0.2817556717297209}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ROL,"{'mean': 42.6760385582738, 'std': 4.794096700222102, 'min': 32.91999816894531, 'max': 51.400001525878906, 'median': 42.58000183105469, 'skewness': 0.03364744892066371, 'kurtosis': -1.1243358408008932}","{'test_statistic': -1.2073402828549533, 'p_value': 0.6704301635575707, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.22270966469314302, 'max_volatility': 0.38042128911388867, 'min_volatility': 0.10881397714007651, 'avg_volatility': 0.21105141377377654}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ROP,"{'mean': 506.5941970465781, 'std': 45.28590836654482, 'min': 420.3299865722656, 'max': 576.5499877929688, 'median': 523.02001953125, 'skewness': -0.46469181966931017, 'kurtosis': -1.2035143496909406}","{'test_statistic': -1.2709924733385791, 'p_value': 0.6423366289915442, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.16787640674780563, 'max_volatility': 0.34554598877381726, 'min_volatility': 0.07843911747161705, 'avg_volatility': 0.1605126254871972}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ROST,"{'mean': 127.66128456720193, 'std': 16.487365011786512, 'min': 100.62999725341797, 'max': 155.25, 'median': 131.08999633789062, 'skewness': -0.0556595820585335, 'kurtosis': -1.4743089225790906}","{'test_statistic': -0.8897176605171316, 'p_value': 0.7913396774929571, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.20880445881019016, 'max_volatility': 0.344389073121862, 'min_volatility': 0.10641396007300497, 'avg_volatility': 0.20059970625456272}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RSG,"{'mean': 165.69753773462594, 'std': 26.357637338704695, 'min': 121.62000274658203, 'max': 211.58999633789062, 'median': 161.83999633789062, 'skewness': 0.08942864750944678, 'kurtosis': -1.3823533283229537}","{'test_statistic': -0.2439314244169112, 'p_value': 0.9330784784930309, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.15205976854061784, 'max_volatility': 0.275285612637816, 'min_volatility': 0.07401131181309598, 'avg_volatility': 0.14289634142070506}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RTX,"{'mean': 97.35254826024972, 'std': 13.39560304318861, 'min': 69.37999725341797, 'max': 127.20999908447266, 'median': 97.63999938964844, 'skewness': 0.25687949976372576, 'kurtosis': -0.34582067400010796}","{'test_statistic': -0.1037681588472986, 'p_value': 0.9490619144811866, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.21210779231565136, 'max_volatility': 0.4074022246266352, 'min_volatility': 0.08476814981518607, 'avg_volatility': 0.1954537534453577}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
RVTY,"{'mean': 114.53884364910249, 'std': 12.526388795279557, 'min': 82.08000183105469, 'max': 144.3800048828125, 'median': 114.4800033569336, 'skewness': -0.1320890748094549, 'kurtosis': -0.1591520833392246}","{'test_statistic': -2.4008535026693463, 'p_value': 0.1414956587639944, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3007509392064197, 'max_volatility': 0.6488366114495323, 'min_volatility': 0.15716905667628062, 'avg_volatility': 0.283647846517394}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SBAC,"{'mean': 229.41965731308343, 'std': 26.228618332482025, 'min': 186.1199951171875, 'max': 308.0899963378906, 'median': 226.63999938964844, 'skewness': 0.7592685127288762, 'kurtosis': 0.4574226138018842}","{'test_statistic': -2.304422408488937, 'p_value': 0.1705456236752269, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2876681511856423, 'max_volatility': 0.4264859159089746, 'min_volatility': 0.15185708536805445, 'avg_volatility': 0.27731520236672125}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SBUX,"{'mean': 94.85813709397898, 'std': 9.317645328050235, 'min': 72.5, 'max': 114.55999755859375, 'median': 96.08999633789062, 'skewness': -0.7260919901529469, 'kurtosis': 0.01702796886052793}","{'test_statistic': -2.056313582602339, 'p_value': 0.26243986181486995, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.31306753121437425, 'max_volatility': 0.9308886568345299, 'min_volatility': 0.11729464322825464, 'avg_volatility': 0.26426478954938387}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SCHW,"{'mean': 64.5165310191904, 'std': 9.012355820035001, 'min': 47.369998931884766, 'max': 85.62000274658203, 'median': 64.44000244140625, 'skewness': 0.10775570188003719, 'kurtosis': -0.8792324554604822}","{'test_statistic': -2.4139393558567597, 'p_value': 0.13784071751199695, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.355094713839512, 'max_volatility': 0.9124552071097533, 'min_volatility': 0.10794767494469368, 'avg_volatility': 0.3160045329547724}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SHW,"{'mean': 288.44398207735964, 'std': 48.6239050293879, 'min': 209.05999755859375, 'max': 389.3900146484375, 'median': 286.7099914550781, 'skewness': 0.3114239240607363, 'kurtosis': -0.9866790086264503}","{'test_statistic': -0.09014039539226379, 'p_value': 0.9504117761315021, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2338846637172597, 'max_volatility': 0.5278497770380797, 'min_volatility': 0.11763454362770157, 'avg_volatility': 0.21162876601756922}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SJM,"{'mean': 130.4314777774525, 'std': 16.525645332590656, 'min': 107.47000122070312, 'max': 162.58999633789062, 'median': 124.47000122070312, 'skewness': 0.36148507441977074, 'kurtosis': -1.4588323753298043}","{'test_statistic': -1.591255676755138, 'p_value': 0.4879845875123704, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.20668924693778154, 'max_volatility': 0.302381846928748, 'min_volatility': 0.11183638336665705, 'avg_volatility': 0.20308758746082486}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SLB,"{'mean': 50.389486039220905, 'std': 5.412829462344756, 'min': 39.56999969482422, 'max': 62.099998474121094, 'median': 49.349998474121094, 'skewness': 0.12912757207779363, 'kurtosis': -0.9155830881263678}","{'test_statistic': -1.7127827655156638, 'p_value': 0.4245387373067619, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3080917412718119, 'max_volatility': 0.5724617677330036, 'min_volatility': 0.1547602786718029, 'avg_volatility': 0.2947019949403549}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SMCI,"{'mean': 42.898875766443744, 'std': 29.713791493808042, 'min': 7.085999965667725, 'max': 118.80699920654297, 'median': 29.5, 'skewness': 0.7183251201575627, 'kurtosis': -0.7514803652098516}","{'test_statistic': -1.5617048546804024, 'p_value': 0.502796425366128, 'critical_values': {'1%': -3.444932949082776, '5%': -2.867969899953726, '10%': -2.57019489663276}}","{'annual_volatility': 0.9413169307713881, 'max_volatility': 1.7601083784639084, 'min_volatility': 0.4095255015554325, 'avg_volatility': 0.8548512253761712}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SNA,"{'mean': 271.13528860610865, 'std': 20.06998011554279, 'min': 228.7100067138672, 'max': 359.2699890136719, 'median': 270.8399963378906, 'skewness': 0.8146188517229954, 'kurtosis': 2.287540162912469}","{'test_statistic': -0.44659487294400546, 'p_value': 0.9020236281521794, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.23230381797313496, 'max_volatility': 0.4043965143003729, 'min_volatility': 0.10590364183087267, 'avg_volatility': 0.2160004170259008}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SNPS,"{'mean': 484.0996798202874, 'std': 78.03464892452564, 'min': 315.0400085449219, 'max': 621.2999877929688, 'median': 495.95001220703125, 'skewness': -0.3258915903947837, 'kurtosis': -0.9993577481583391}","{'test_statistic': -2.036095737760317, 'p_value': 0.2709739881292995, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.3153655689385137, 'max_volatility': 0.5798081207777839, 'min_volatility': 0.1409118342711787, 'avg_volatility': 0.29970183613810353}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SO,"{'mean': 73.64882233515542, 'std': 7.645746857070717, 'min': 62.31999969482422, 'max': 94.1500015258789, 'median': 70.8499984741211, 'skewness': 1.1168391010700485, 'kurtosis': 0.0781454952523788}","{'test_statistic': -0.3656749417053479, 'p_value': 0.915674016768405, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.18018060807899028, 'max_volatility': 0.24065950448948334, 'min_volatility': 0.104467125548609, 'avg_volatility': 0.17521449261868155}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SOLV,"{'mean': 62.408846243833885, 'std': 6.983829804913424, 'min': 48.02000045776367, 'max': 75.06999969482422, 'median': 62.40999984741211, 'skewness': -0.1461686375043989, 'kurtosis': -0.8718224248908699}","{'test_statistic': -0.9033546216543428, 'p_value': 0.7868656852352317, 'critical_values': {'1%': -3.4732590518613002, '5%': -2.880374082105334, '10%': -2.5768120811654525}}","{'annual_volatility': 0.3347278509668037, 'max_volatility': 0.46029168856125574, 'min_volatility': 0.170639447556376, 'avg_volatility': 0.3145506369370533}","{'start_date': Timestamp('2024-04-01 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 156}"
SPG,"{'mean': 133.82327651160688, 'std': 21.010164385047403, 'min': 101.25, 'max': 179.02000427246094, 'median': 131.72999572753906, 'skewness': 0.21440499032091626, 'kurtosis': -1.2043514181889723}","{'test_statistic': -0.014154281047097362, 'p_value': 0.9573457661441863, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.23813197778685868, 'max_volatility': 0.40596449700241555, 'min_volatility': 0.12926829725348493, 'avg_volatility': 0.22906615574180458}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SPGI,"{'mean': 415.27261241447235, 'std': 52.788195594743264, 'min': 324.7900085449219, 'max': 529.0, 'median': 416.0199890136719, 'skewness': 0.4153624742694295, 'kurtosis': -0.7050463598976782}","{'test_statistic': -0.9120740852230366, 'p_value': 0.7839702475783004, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.19519148173646098, 'max_volatility': 0.3254850700275404, 'min_volatility': 0.09586366145596706, 'avg_volatility': 0.18471676865566916}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SRE,"{'mean': 75.05507485105854, 'std': 4.43960546760566, 'min': 65.2699966430664, 'max': 91.25, 'median': 74.29499816894531, 'skewness': 0.6297876623764563, 'kurtosis': -0.005426741672140967}","{'test_statistic': -0.7744579758160066, 'p_value': 0.8265099611231495, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.1941256673264705, 'max_volatility': 0.3142697605963042, 'min_volatility': 0.08412665690956854, 'avg_volatility': 0.1838551565483648}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
STE,"{'mean': 216.12423983784254, 'std': 16.085545571101342, 'min': 176.38999938964844, 'max': 247.1699981689453, 'median': 219.8300018310547, 'skewness': -0.5603934242022511, 'kurtosis': -0.5531057181130579}","{'test_statistic': -2.6095333703453685, 'p_value': 0.09104287822720641, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2442474824661107, 'max_volatility': 0.48356210284104834, 'min_volatility': 0.11398570448933247, 'avg_volatility': 0.225997792058993}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
STLD,"{'mean': 117.37203433835276, 'std': 13.226958416859844, 'min': 91.9000015258789, 'max': 154.32000732421875, 'median': 116.54000091552734, 'skewness': 0.3073466607584913, 'kurtosis': -0.7382411607706132}","{'test_statistic': -1.8033275353128169, 'p_value': 0.3788109206276878, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3493432895700445, 'max_volatility': 0.6569906688610729, 'min_volatility': 0.15089413547895922, 'avg_volatility': 0.3221851632258556}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
STT,"{'mean': 76.34051395228384, 'std': 7.561703011832812, 'min': 62.93000030517578, 'max': 96.80999755859375, 'median': 74.29000091552734, 'skewness': 0.7581069876269997, 'kurtosis': -0.24071258997523604}","{'test_statistic': -1.050324126156245, 'p_value': 0.7344703814610121, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2661665544475362, 'max_volatility': 0.5019298696885475, 'min_volatility': 0.1413016420471716, 'avg_volatility': 0.24885488679533949}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
STX,"{'mean': 80.01537474932456, 'std': 16.98435588839573, 'min': 51.880001068115234, 'max': 112.63999938964844, 'median': 79.0999984741211, 'skewness': 0.2391262755078177, 'kurtosis': -1.3552442721061984}","{'test_statistic': -1.220594896214223, 'p_value': 0.6646741607277468, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3368119343071195, 'max_volatility': 0.5474106266414237, 'min_volatility': 0.17908842264671784, 'avg_volatility': 0.3267731928963617}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
STZ,"{'mean': 244.5634046468796, 'std': 14.20936055509398, 'min': 208.67999267578125, 'max': 272.79998779296875, 'median': 245.25999450683594, 'skewness': -0.15996941791237795, 'kurtosis': -0.6243704402809378}","{'test_statistic': -2.487114198968809, 'p_value': 0.11864114228688277, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.20129553990910395, 'max_volatility': 0.40844893066411614, 'min_volatility': 0.10828521933960669, 'avg_volatility': 0.18322573723432903}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SWK,"{'mean': 89.95875805807829, 'std': 7.745955432284659, 'min': 74.25, 'max': 110.12999725341797, 'median': 89.51000213623047, 'skewness': 0.3304537708001334, 'kurtosis': -0.286732459230957}","{'test_statistic': -2.388380685799445, 'p_value': 0.14504276575507524, 'critical_values': {'1%': -3.4446148284445153, '5%': -2.8678299626609314, '10%': -2.5701203107928157}}","{'annual_volatility': 0.33361913594533943, 'max_volatility': 0.5589496168170912, 'min_volatility': 0.1409069836699084, 'avg_volatility': 0.32059312323025996}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SWKS,"{'mean': 103.68070678384197, 'std': 7.692961133180393, 'min': 86.44999694824219, 'max': 122.97000122070312, 'median': 104.45999908447266, 'skewness': -0.07544447452800816, 'kurtosis': -0.5821856533518495}","{'test_statistic': -3.161639780306318, 'p_value': 0.02231529066545019, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.34305268106947734, 'max_volatility': 0.6203584043060677, 'min_volatility': 0.1739265839142853, 'avg_volatility': 0.32663684676541127}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SYF,"{'mean': 38.38678802718953, 'std': 7.893264731884557, 'min': 26.760000228881836, 'max': 67.51000213623047, 'median': 36.72999954223633, 'skewness': 0.6599520957387406, 'kurtosis': -0.17212107734687265}","{'test_statistic': 0.6852613662312923, 'p_value': 0.9895390984027049, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3476252729368981, 'max_volatility': 0.7332147645836928, 'min_volatility': 0.1792356769177003, 'avg_volatility': 0.30844851307985205}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SYK,"{'mean': 309.43233393601736, 'std': 34.66278118455897, 'min': 246.02999877929688, 'max': 375.9599914550781, 'median': 298.5299987792969, 'skewness': 0.1508357772495893, 'kurtosis': -1.359041342147987}","{'test_statistic': -1.184559172039976, 'p_value': 0.6802024486030364, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2136326332683425, 'max_volatility': 0.427874906746196, 'min_volatility': 0.0874736785075528, 'avg_volatility': 0.20105599383764203}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
SYY,"{'mean': 74.36790156721814, 'std': 3.8579887889232034, 'min': 62.689998626708984, 'max': 82.36000061035156, 'median': 74.83999633789062, 'skewness': -0.6440540492546877, 'kurtosis': 0.5331564798172721}","{'test_statistic': -2.40420671844122, 'p_value': 0.14055261207345016, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.18642860545770432, 'max_volatility': 0.2888221294721726, 'min_volatility': 0.09115626493703158, 'avg_volatility': 0.18155112987125915}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
T,"{'mean': 17.570599564137755, 'std': 2.149749191867105, 'min': 13.449999809265137, 'max': 22.540000915527344, 'median': 17.200000762939453, 'skewness': 0.3945069052084878, 'kurtosis': -0.5310194061598903}","{'test_statistic': -0.298882293513414, 'p_value': 0.9256624837899232, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.24446309240170497, 'max_volatility': 0.4404812443178678, 'min_volatility': 0.1034276892551737, 'avg_volatility': 0.2296040721151435}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
TAP,"{'mean': 58.84353315038906, 'std': 5.5514163993272465, 'min': 49.029998779296875, 'max': 70.66999816894531, 'median': 59.09000015258789, 'skewness': 0.027010065168103232, 'kurtosis': -1.2097575966679126}","{'test_statistic': -1.8318029063055783, 'p_value': 0.3647906135064841, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.23070907480499875, 'max_volatility': 0.38886693874791584, 'min_volatility': 0.09859842855273741, 'avg_volatility': 0.2162494483784132}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
TDG,"{'mean': 1025.8058029926308, 'std': 234.89982883470506, 'min': 625.77001953125, 'max': 1442.530029296875, 'median': 981.6400146484375, 'skewness': 0.13783308295170804, 'kurtosis': -1.470878678177478}","{'test_statistic': -0.9611718371080127, 'p_value': 0.7671613455614685, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.22753357149277229, 'max_volatility': 0.3761059892683754, 'min_volatility': 0.12508167816669652, 'avg_volatility': 0.22034058391319247}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
TDY,"{'mean': 414.42246306784915, 'std': 20.41918327298554, 'min': 362.5, 'max': 489.239990234375, 'median': 414.3999938964844, 'skewness': 0.2546808412586913, 'kurtosis': 0.1838719174141228}","{'test_statistic': -1.5375769308026423, 'p_value': 0.5148475004532851, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.21696376513517465, 'max_volatility': 0.44456901533960447, 'min_volatility': 0.11013326702163101, 'avg_volatility': 0.20298015356391405}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
